# dataset         disk-read          n-bricks       ache-lookup     condense        upload-bricks              pool-MD          pool-texelD      total
#       brick-copy          decompress    cache-add          read-HT         raycast               pool-sort         pool-brick        get-brick
dataset  bcopy    disk-read  decomp   nb  cache-add c-looku  read-HT condense raycast upload-br    p-sort     pool-md  p-brick  p-texel get-brick total
#                      3                5                                       10         11          12          13     14        15       16      17
#516:260   470.843    56.69    483.37    10 2489.506    0.100  9745.791 0.05     6.422   5976.920      0.048      0.337 2018.146    6.809 4036.557 15826.615
#516:132   400.082    56.92    484.63    11 2486.323    0.374  5169.283 0.10     9.279   5717.137      0.361      0.475 1753.151   25.861 4026.734 11122.463
516:68    337.411    56.27    481.57    11 2455.682    0.644  4467.659 0.28    15.300   5585.541      3.906      0.404 1715.818   51.600 3943.420 10359.803
#516:36    323.849    59.61    487.89    11 2493.698    2.850  2513.497 1.07  1482.985   5696.407     54.188      0.523 1692.412   59.438 4014.618 9704.796
#516:20    470.130    57.24    490.70    11 2498.827   10.027  5982.276 4.96  2087.935   8464.826   1275.986      3.413 2933.097  316.363 4245.861 16566.150
#260:132   311.926    65.62    526.84    61 2333.534    0.594  3947.517 0.10  1388.407   5479.444      0.370      0.157 1762.625   14.681 3711.505 10823.663
260:68    242.282    65.29    523.54    59 2180.888    0.980  2646.519 0.33  1491.944   5194.547      4.095      0.177 1707.531   19.233 3488.430 9342.257
#260:36    266.921    64.03    528.08    59 2278.615    3.669  2634.211 1.09  1491.738   5413.957     55.010      0.546 1703.703   61.799 3645.258 9552.536
#260:20    404.509    62.84    535.14    59 2252.968   14.650  6607.818 4.80  2128.730   8143.603   1278.609      3.317 2938.455  328.334 3857.704 16911.055
132:68    162.398    68.03    442.04   272 1422.367    1.727  2543.505 0.31  1504.994   4117.178      3.993      0.167 1730.466   20.287 2380.474 8174.387
#132:36    193.856    72.07    435.53   268 1427.320    6.990  2718.941 1.03  1477.119   4213.322     53.216      0.486 1686.993   60.495 2455.702 8421.180
#132:20    334.998    69.66    440.11   270 1391.716   28.671  6680.895 4.79  2084.364   6928.825   1295.409      3.585 2890.281  320.030 2666.252 15725.636
# 68:36     152.365    89.31    358.92  1234  875.257   23.273  3115.850 0.99  1568.065   3345.106     54.587      0.491 1692.858   61.138 1579.512 8040.874
# 68:20     290.197    84.75    358.29  1231  826.485   97.677  6017.136 4.73  2057.929   6064.558   1269.019      3.312 2874.720  317.586 1844.547 14169.697
# 36:20     194.110   128.53    291.37  5497  678.842  425.899  6503.794 4.84  2173.203   6296.282   1272.252      3.307 2971.130  365.213 1967.814 15003.589
