# dataset targetBrickSize test brick-copy-time disk-read-time decompression-time n-bricks cache-add cache-lookup read-htable condense-htable raycast upload-bricks total ???
"MBulb 516 -> 260"   260 rebrick 465.155    56.67    506.33    10 2476.558  392.398  9768.517 0.07     6.114   5966.784  15856.825    0.041
"MBulb 516 -> 132"   132 rebrick 397.621    56.01    487.02    11 2462.340  383.666  5334.416 0.13     8.082   5720.717  11226.643    0.033
Mandelbulb1k-HILBERT-516-lz4.uvf    68 rebrick 306.292    56.64    507.81    11 2451.226  304.509  3745.113 0.29    12.071   5575.626   9528.235    0.033
Mandelbulb1k-HILBERT-516-lz4.uvf    36 rebrick 296.247    56.67    487.67    11 2463.892  301.382  1867.092 0.69  1465.615   5583.170   8925.109    0.033
Mandelbulb1k-HILBERT-516-lz4.uvf    20 rebrick 388.249    56.67    485.15    11 2455.695  414.414  2995.381 2.38  2071.561   7291.023  12371.966    0.034
Mandelbulb1k-HILBERT-260-lz4.uvf   132 rebrick 295.100    65.73    526.77    61 2255.689  227.693  3735.523 0.11  1415.293   5337.713  10495.279    0.231
Mandelbulb1k-HILBERT-260-lz4.uvf    68 rebrick 222.154    66.70    534.22    59 2250.925  209.617  2361.069 0.26  1554.820   5197.405   9121.317    0.225
Mandelbulb1k-HILBERT-260-lz4.uvf    36 rebrick 242.495    63.99    511.73    59 2237.462  245.040  2064.383 0.77  1487.897   5272.387   8833.966    0.222
Mandelbulb1k-HILBERT-260-lz4.uvf    20 rebrick 334.110    63.47    518.55    59 2207.145  360.517  2762.608 2.62  2063.812   6987.834  11828.711    0.225
Mandelbulb1k-HILBERT-132-lz4.uvf    68 rebrick 148.866    75.15    429.09   272 1430.235  122.731  2284.148 0.25  1446.824   4053.130   7791.494    0.567
Mandelbulb1k-HILBERT-132-lz4.uvf    36 rebrick 180.898    69.18    433.57   269 1343.343  180.213  1991.434 0.74  1548.130   4064.680   7613.536    0.558
Mandelbulb1k-HILBERT-132-lz4.uvf    20 rebrick 282.478    68.87    431.18   270 1341.574  307.802  2811.104 2.34  2103.801   5785.550  10714.525    0.645
Mandelbulb1k-HILBERT-68-lz4.uvf    36  rebrick 143.660    74.63    345.87  1235  801.482  124.595  1950.752 0.71  1478.836   3164.479   6603.611    5.258
Mandelbulb1k-HILBERT-68-lz4.uvf    20  rebrick 265.498    79.47    345.82  1230  805.791  285.110  2570.071 2.27  1984.782   4991.837   9560.392    5.286
Mandelbulb1k-HILBERT-36-lz4.uvf    20  rebrick 176.592   114.69    282.82  5505  656.295  170.578  2699.951 2.27  2002.099   5192.594   9908.502   92.138
Mandelbulb1k-HILBERT-36-lz4.uvf 0      vanilla   0.000    73.84    297.90  5539    0.000    0.000  3312.993 0.63    18.385   2173.895   5753.612    0.000
Mandelbulb1k-HILBERT-68-lz4.uvf  0     vanilla   0.000    49.44    346.22  1253    0.000    0.000  2306.466 0.25  1441.302   2030.065   5786.163    0.000
Mandelbulb1k-HILBERT-132-lz4.uvf 0     vanilla   0.000    69.90    432.77   283    0.000    0.000  3721.341 0.11  1403.392   2234.068   7366.246    0.000
Mandelbulb1k-HILBERT-260-lz4.uvf 0     vanilla   0.000    60.37    519.88    59    0.000    0.000  8399.809 0.06  1328.424   2516.248  12251.866    0.000
Mandelbulb1k-HILBERT-516-lz4.uvf 0     vanilla   0.000    66.12    529.70     9    0.000    0.000  9730.430 0.03  1996.393   2425.633  14159.389    0.000
